dt,cnt_id,cycle_id,event,location_name,end_location_name,cnt_type,days_since_last_event,days_until_free
2006-02-01,TOWU3611630,TOWU3611630_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,40,13,22
2006-02-02,TIMU6180706,TIMU6180706_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,47
2006-02-02,TIMU8061928,TIMU8061928_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,20,2,52
2006-02-02,WEDU5817433,WEDU5817433_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,20,2,0
2006-02-03,CRTU1521773,CRTU1521773_cycle_1,Передан_на_погрузку,Владивосток,Москва,20,0,40
2006-02-03,CRTU3557936,CRTU3557936_cycle_2,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,37
2006-02-03,KNYU9683883,KNYU9683883_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,13,7
2006-02-03,TIMU8250428,TIMU8250428_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,51
2006-02-03,WEDU2249581,WEDU2249581_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,20,3,16
2006-02-03,WEDU7707795,WEDU7707795_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,40,0,37
2006-02-04,CRTU8114609,CRTU8114609_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,30
2006-02-04,ERKU4123975,ERKU4123975_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,40,0,50
2006-02-04,KNYU9683883,KNYU9683883_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,1,6
2006-02-04,TIMU5293271,TIMU5293271_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,4,28
2006-02-04,TIMU7736033,TIMU7736033_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,20,3,21
2006-02-04,TOWU2984334,TOWU2984334_cycle_1,Отправлен_грузополучателю,Владивосток,Владивосток,40,3,25
2006-02-04,WEDU4651205,WEDU4651205_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,13,12
2006-02-05,BUTU1300953,BUTU1300953_cycle_1,Передан_на_погрузку,Владивосток,Москва,40,0,56
2006-02-05,BUTU8729025,BUTU8729025_cycle_1,Передан_на_погрузку,Москва,Владивосток,40,0,39
2006-02-05,STNU2517447,STNU2517447_cycle_2,Передан_на_погрузку,Москва,Владивосток,40,0,45
2006-02-05,STNU9767317,STNU9767317_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,37
2006-02-05,TIMU5293271,TIMU5293271_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,1,27
2006-02-05,TOWU3611630,TOWU3611630_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,40,4,18
2006-02-05,WEDU2383938,WEDU2383938_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,29
2006-02-06,CRTU3557001,CRTU3557001_cycle_1,Прибыл_груженый,Москва,Владивосток,20,13,43
2006-02-06,KNYU5372067,KNYU5372067_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,15,17
2006-02-07,BUTU4321000,BUTU4321000_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,40,15,3
2006-02-07,CRTU1715325,CRTU1715325_cycle_1,Прибыл_по_ЖД,Владивосток,Владивосток,40,16,5
2006-02-07,WEDU4651205,WEDU4651205_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,3,9
2006-02-07,WEDU6876299,WEDU6876299_cycle_1,Передан_на_погрузку,Москва,Владивосток,20,0,41
2006-02-07,WEDU8568487,WEDU8568487_cycle_1,Прибыл_по_ЖД,Владивосток,Владивосток,40,14,5
2006-02-08,BUTU4321000,BUTU4321000_cycle_1,Отправлен_по_ЖД,Москва,Санкт-Петербург,40,1,2
2006-02-08,CRTU3557001,CRTU3557001_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,20,2,41
2006-02-08,KNYU5372067,KNYU5372067_cycle_1,Отправлен_грузополучателю,Москва,Москва,40,2,15
2006-02-08,STNU4919514,STNU4919514_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,40,0,54
2006-02-08,TIMU3656871,TIMU3656871_cycle_1,Передан_на_погрузку,Владивосток,Москва,20,0,31
2006-02-08,TIMU7736033,TIMU7736033_cycle_1,Прибыл_по_ЖД,Москва,Москва,20,4,17
2006-02-08,WEDU6654977,WEDU6654977_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,20,11,32
2006-02-09,BUTU4321000,BUTU4321000_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,40,1,1
2006-02-09,BUTU8954572,BUTU8954572_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,28
2006-02-09,CRTU5834937,CRTU5834937_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,29
2006-02-09,STNU9487869,STNU9487869_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,40,16,27
2006-02-09,TIMU1636645,TIMU1636645_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,20,10,37
2006-02-09,TOWU2835826,TOWU2835826_cycle_1,Передан_на_погрузку,Владивосток,Москва,40,0,45
2006-02-09,WEDU6654977,WEDU6654977_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,20,1,31
2006-02-09,WEDU8568487,WEDU8568487_cycle_1,Отправлен_грузополучателю,Владивосток,Владивосток,40,2,3
2006-02-10,BUTU4321000,BUTU4321000_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,40,1,0
2006-02-10,BUTU4321000,BUTU4321000_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,40,0,0
2006-02-10,BUTU8729025,BUTU8729025_cycle_1,Прибыл_груженый,Москва,Владивосток,40,5,34
2006-02-10,ERKU5797068,ERKU5797068_cycle_1,Прибыл_груженый,Владивосток,Москва,40,11,36
2006-02-10,KNYU9683883,KNYU9683883_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,20,6,0
2006-02-10,TIMU7736033,TIMU7736033_cycle_1,Отправлен_грузополучателю,Москва,Москва,20,2,15
2006-02-11,BUTU8729025,BUTU8729025_cycle_1,Отправлен_по_ЖД,Москва,Владивосток,40,1,33
2006-02-11,CRTU1715325,CRTU1715325_cycle_1,Отправлен_грузополучателю,Владивосток,Владивосток,40,4,1
2006-02-11,CRTU2093770,CRTU2093770_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,40,12,44
2006-02-11,CRTU6264170,CRTU6264170_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,40,12,23
2006-02-11,ERKU8281105,ERKU8281105_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,40,14,29
2006-02-11,KNYU1437543,KNYU1437543_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,46
2006-02-11,KNYU3021654,KNYU3021654_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,11,17
2006-02-11,STNU2794431,STNU2794431_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,27
2006-02-11,STNU3092282,STNU3092282_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,40,17,31
2006-02-11,STNU4510100,STNU4510100_cycle_2,Передан_на_погрузку,Санкт-Петербург,Москва,20,0,15
2006-02-11,TIMU1636645,TIMU1636645_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Владивосток,20,2,35
2006-02-11,TOWU7931879,TOWU7931879_cycle_1,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,43
2006-02-11,TOWU8351331,TOWU8351331_cycle_1,Передан_на_погрузку,Владивосток,Москва,20,0,33
2006-02-11,WEDU6654977,WEDU6654977_cycle_1,Прибыл_по_ЖД,Москва,Москва,20,2,29
2006-02-11,WEDU7707795,WEDU7707795_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,40,8,29
2006-02-12,CRTU1715325,CRTU1715325_cycle_1,Прибыл_свободным,Владивосток,Владивосток,40,1,0
2006-02-12,CRTU2093770,CRTU2093770_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,40,1,43
2006-02-12,ERKU3509749,ERKU3509749_cycle_1,Прибыл_по_ЖД,Санкт-Петербург,Санкт-Петербург,20,11,11
2006-02-12,ERKU3509749,ERKU3509749_cycle_1,Отправлен_грузополучателю,Санкт-Петербург,Санкт-Петербург,20,0,11
2006-02-12,ERKU5797068,ERKU5797068_cycle_1,Отправлен_по_ЖД,Владивосток,Москва,40,2,34
2006-02-12,ERKU8324044,ERKU8324044_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,40,16,0
2006-02-12,KNYU3021654,KNYU3021654_cycle_1,Отправлен_грузополучателю,Москва,Москва,40,1,16
2006-02-12,KNYU3537798,KNYU3537798_cycle_1,Прибыл_свободным,Владивосток,Владивосток,20,19,0
2006-02-12,KNYU8798891,KNYU8798891_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,36
2006-02-12,STNU1402586,STNU1402586_cycle_1,Прибыл_по_ЖД,Владивосток,Владивосток,20,14,24
2006-02-12,STNU3092282,STNU3092282_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Владивосток,40,1,30
2006-02-12,TIMU3656871,TIMU3656871_cycle_1,Прибыл_груженый,Владивосток,Москва,20,4,27
2006-02-12,TOWU8351331,TOWU8351331_cycle_1,Прибыл_груженый,Владивосток,Москва,20,1,32
2006-02-12,TOWU8351331,TOWU8351331_cycle_1,Отправлен_по_ЖД,Владивосток,Москва,20,0,32
2006-02-12,WEDU6654977,WEDU6654977_cycle_1,Отправлен_грузополучателю,Москва,Москва,20,1,28
2006-02-12,WEDU7707795,WEDU7707795_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,40,1,28
2006-02-12,WEDU8568487,WEDU8568487_cycle_1,Прибыл_свободным,Владивосток,Владивосток,40,3,0
2006-02-13,BUTU2391445,BUTU2391445_cycle_1,Прибыл_груженый,Владивосток,Москва,20,15,29
2006-02-13,ERKU4123975,ERKU4123975_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,40,9,41
2006-02-13,KNYU1033833,KNYU1033833_cycle_1,Прибыл_груженый,Владивосток,Санкт-Петербург,40,15,39
2006-02-13,KNYU7944727,KNYU7944727_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,36
2006-02-13,STNU9487869,STNU9487869_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,40,4,23
2006-02-13,TIMU3656871,TIMU3656871_cycle_1,Отправлен_по_ЖД,Владивосток,Москва,20,1,26
2006-02-13,TIMU6180706,TIMU6180706_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,40,11,36
2006-02-13,WEDU2383938,WEDU2383938_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,20,8,21
2006-02-14,BUTU4321000,BUTU4321000_cycle_2,Передан_на_погрузку,Санкт-Петербург,Москва,40,0,8
2006-02-14,BUTU4321000,BUTU4321000_cycle_2,Прибыл_груженый,Санкт-Петербург,Москва,40,0,8
2006-02-14,ERKU4123975,ERKU4123975_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Владивосток,40,1,40
2006-02-14,ERKU8281105,ERKU8281105_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,40,3,26
2006-02-14,ERKU8281105,ERKU8281105_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,0,26
2006-02-14,KNYU1824938,KNYU1824938_cycle_1,Передан_на_погрузку,Москва,Санкт-Петербург,20,0,43
2006-02-14,KNYU4619290,KNYU4619290_cycle_1,Передан_на_погрузку,Санкт-Петербург,Владивосток,40,0,33
2006-02-14,KNYU4619290,KNYU4619290_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,40,0,33
2006-02-14,KNYU5786200,KNYU5786200_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,20,16,11
2006-02-14,STNU1402586,STNU1402586_cycle_1,Отправлен_грузополучателю,Владивосток,Владивосток,20,2,22
2006-02-14,STNU2356703,STNU2356703_cycle_1,Прибыл_груженый,Санкт-Петербург,Владивосток,40,13,43
2006-02-14,STNU2517447,STNU2517447_cycle_2,Прибыл_груженый,Москва,Владивосток,40,9,36
2006-02-14,TIMU6180706,TIMU6180706_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,40,1,35
2006-02-14,TIMU6180706,TIMU6180706_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,0,35
2006-02-14,TIMU6180706,TIMU6180706_cycle_1,Отправлен_грузополучателю,Москва,Москва,40,0,35
2006-02-14,WEDU9910122,WEDU9910122_cycle_1,Прибыл_свободным,Москва,Москва,40,27,0
2006-02-15,CRTU2183954,CRTU2183954_cycle_1,Прибыл_груженый,Санкт-Петербург,Москва,40,17,26
2006-02-15,CRTU6264170,CRTU6264170_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Москва,40,4,19
2006-02-15,CRTU6264170,CRTU6264170_cycle_1,Прибыл_по_ЖД,Москва,Москва,40,0,19
2006-02-15,CRTU8114609,CRTU8114609_cycle_1,Прибыл_груженый,Москва,Санкт-Петербург,20,11,19
2006-02-15,ERKU3123425,ERKU3123425_cycle_1,Передан_на_погрузку,Владивосток,Санкт-Петербург,20,0,47
2006-02-15,ERKU8281105,ERKU8281105_cycle_1,Отправлен_грузополучателю,Москва,Москва,40,1,25
2006-02-15,KNYU1033833,KNYU1033833_cycle_1,Отправлен_по_ЖД,Владивосток,Санкт-Петербург,40,2,37
2006-02-15,KNYU4619290,KNYU4619290_cycle_1,Отправлен_по_ЖД,Санкт-Петербург,Владивосток,40,1,32
2006-02-15,KNYU6806102,KNYU6806102_cycle_1,Передан_на_погрузку,Владивосток,Москва,20,0,40
2006-02-15,TOWU6899546,TOWU6899546_cycle_1,Прибыл_свободным,Санкт-Петербург,Санкт-Петербург,20,20,0
2006-02-15,TOWU6899546,TOWU6899546_cycle_2,Передан_на_погрузку,Санкт-Петербург,Владивосток,20,0,59
