Дата_заявки,Планируемая_дата_отправления,Количество_контейнеров,Тип_контейнера,Локация_отправления,Локация_назначения
2006-04-14,2006-04-16,4,20,Владивосток,Москва
2006-04-15,2006-04-20,3,40,Москва,Владивосток
2006-04-15,2006-04-20,5,20,Владивосток,Санкт-Петербург
2006-04-15,2006-04-17,4,20,Владивосток,Москва
2006-04-15,2006-04-19,3,20,Владивосток,Москва
2006-04-15,2006-04-20,5,20,Владивосток,Санкт-Петербург
2006-04-16,2006-04-22,5,40,Москва,Санкт-Петербург
2006-04-16,2006-04-18,5,20,Москва,Владивосток
2006-04-18,2006-04-25,2,20,Москва,Владивосток
2006-04-19,2006-04-24,6,40,Санкт-Петербург,Москва
2006-04-19,2006-04-20,4,20,Владивосток,Москва
2006-04-19,2006-04-24,5,40,Москва,Владивосток
2006-04-19,2006-04-23,2,20,Москва,Владивосток
2006-04-19,2006-04-26,5,40,Москва,Санкт-Петербург
2006-04-19,2006-04-20,5,40,Москва,Санкт-Петербург
2006-04-20,2006-04-24,2,20,Москва,Владивосток
2006-04-20,2006-04-23,6,20,Санкт-Петербург,Москва
2006-04-20,2006-04-23,3,40,Санкт-Петербург,Владивосток
2006-04-20,2006-04-27,4,40,Москва,Санкт-Петербург
2006-04-21,2006-04-26,4,20,Санкт-Петербург,Владивосток
2006-04-21,2006-04-22,2,40,Санкт-Петербург,Москва
2006-04-22,2006-04-27,6,40,Санкт-Петербург,Владивосток
2006-04-22,2006-04-24,3,40,Санкт-Петербург,Владивосток
2006-04-23,2006-04-30,3,40,Санкт-Петербург,Владивосток
2006-04-23,2006-04-25,2,20,Владивосток,Москва
2006-04-23,2006-04-24,3,20,Санкт-Петербург,Москва
2006-04-23,2006-04-26,3,40,Москва,Владивосток
2006-04-23,2006-04-24,2,40,Санкт-Петербург,Владивосток
2006-04-24,2006-05-01,4,20,Москва,Санкт-Петербург
2006-04-24,2006-04-27,4,20,Владивосток,Санкт-Петербург
2006-04-24,2006-04-25,6,20,Владивосток,Москва
2006-04-24,2006-04-30,4,40,Москва,Санкт-Петербург
2006-04-24,2006-04-30,2,20,Москва,Владивосток
2006-04-25,2006-04-27,5,20,Москва,Владивосток
2006-04-25,2006-04-29,3,20,Санкт-Петербург,Москва
2006-04-25,2006-04-29,3,40,Санкт-Петербург,Москва
2006-04-25,2006-04-27,3,20,Владивосток,Санкт-Петербург
2006-04-25,2006-05-01,6,20,Москва,Санкт-Петербург
2006-04-27,2006-05-02,6,20,Москва,Владивосток
2006-04-28,2006-05-05,3,40,Москва,Санкт-Петербург
2006-04-29,2006-05-03,3,20,Санкт-Петербург,Москва
2006-04-29,2006-04-30,4,20,Москва,Владивосток
2006-04-29,2006-04-30,4,40,Санкт-Петербург,Москва
2006-04-29,2006-05-01,5,20,Санкт-Петербург,Владивосток
2006-04-30,2006-05-04,2,20,Санкт-Петербург,Владивосток
2006-05-01,2006-05-08,6,20,Москва,Санкт-Петербург
2006-05-01,2006-05-02,3,40,Владивосток,Москва
2006-05-01,2006-05-04,4,40,Владивосток,Санкт-Петербург
2006-05-01,2006-05-03,2,20,Москва,Санкт-Петербург
2006-05-02,2006-05-07,6,40,Санкт-Петербург,Владивосток
2006-05-02,2006-05-03,2,20,Москва,Владивосток
2006-05-02,2006-05-05,6,20,Москва,Санкт-Петербург
2006-05-02,2006-05-09,6,40,Москва,Владивосток
2006-05-03,2006-05-06,3,40,Владивосток,Москва
2006-05-03,2006-05-07,6,40,Москва,Владивосток
2006-05-04,2006-05-08,4,40,Санкт-Петербург,Владивосток
2006-05-04,2006-05-09,2,40,Владивосток,Москва
2006-05-04,2006-05-06,6,20,Санкт-Петербург,Москва
2006-05-05,2006-05-09,4,20,Москва,Владивосток
2006-05-05,2006-05-10,4,20,Москва,Владивосток
2006-05-05,2006-05-10,4,20,Москва,Санкт-Петербург
2006-05-05,2006-05-06,7,40,Санкт-Петербург,Владивосток
2006-05-06,2006-05-07,2,20,Санкт-Петербург,Москва
2006-05-06,2006-05-07,3,40,Москва,Санкт-Петербург
2006-05-06,2006-05-13,3,40,Санкт-Петербург,Москва
2006-05-06,2006-05-07,3,40,Владивосток,Санкт-Петербург
2006-05-06,2006-05-11,7,20,Санкт-Петербург,Москва
2006-05-07,2006-05-12,2,20,Москва,Владивосток
2006-05-07,2006-05-12,7,20,Санкт-Петербург,Владивосток
2006-05-08,2006-05-15,4,20,Владивосток,Санкт-Петербург
2006-05-08,2006-05-14,4,40,Санкт-Петербург,Владивосток
2006-05-09,2006-05-13,3,20,Санкт-Петербург,Москва
2006-05-09,2006-05-11,4,40,Москва,Санкт-Петербург
2006-05-09,2006-05-13,4,20,Москва,Санкт-Петербург
2006-05-10,2006-05-16,6,40,Москва,Санкт-Петербург
2006-05-10,2006-05-13,4,40,Москва,Владивосток
2006-05-11,2006-05-13,3,40,Москва,Владивосток
2006-05-12,2006-05-14,6,20,Владивосток,Москва
2006-05-13,2006-05-20,7,20,Санкт-Петербург,Владивосток
2006-05-13,2006-05-15,3,40,Москва,Владивосток
2006-05-13,2006-05-17,3,20,Москва,Санкт-Петербург
2006-05-13,2006-05-14,4,20,Москва,Санкт-Петербург
2006-05-13,2006-05-20,7,40,Владивосток,Москва
2006-05-13,2006-05-16,4,20,Владивосток,Москва
2006-05-14,2006-05-21,7,20,Москва,Санкт-Петербург
2006-05-14,2006-05-17,2,40,Санкт-Петербург,Москва
2006-05-16,2006-05-21,7,20,Москва,Санкт-Петербург
2006-05-16,2006-05-18,2,40,Москва,Владивосток
2006-05-18,2006-05-19,3,20,Москва,Владивосток
2006-05-18,2006-05-20,2,40,Москва,Санкт-Петербург
2006-05-18,2006-05-20,2,20,Владивосток,Санкт-Петербург
2006-05-18,2006-05-25,4,40,Владивосток,Санкт-Петербург
2006-05-19,2006-05-24,2,40,Санкт-Петербург,Владивосток
2006-05-19,2006-05-21,6,40,Владивосток,Москва
2006-05-20,2006-05-23,4,20,Москва,Санкт-Петербург
2006-05-20,2006-05-24,7,40,Санкт-Петербург,Москва
2006-05-21,2006-05-27,3,40,Москва,Владивосток
2006-05-21,2006-05-25,3,20,Санкт-Петербург,Москва
2006-05-22,2006-05-28,6,40,Москва,Владивосток
2006-05-22,2006-05-29,4,40,Москва,Владивосток
2006-05-22,2006-05-27,4,20,Владивосток,Санкт-Петербург
2006-05-24,2006-05-27,3,20,Москва,Владивосток
2006-05-24,2006-05-27,2,40,Москва,Санкт-Петербург
2006-05-24,2006-05-30,6,40,Владивосток,Москва
2006-05-24,2006-05-26,3,40,Москва,Владивосток
2006-05-25,2006-05-26,2,20,Владивосток,Москва
2006-05-25,2006-05-29,4,20,Москва,Санкт-Петербург
2006-05-25,2006-06-01,7,20,Москва,Санкт-Петербург
2006-05-25,2006-05-28,2,40,Москва,Владивосток
2006-05-26,2006-06-02,6,20,Москва,Санкт-Петербург
2006-05-26,2006-05-28,7,20,Москва,Санкт-Петербург
2006-05-27,2006-05-31,4,20,Москва,Владивосток
2006-05-27,2006-05-29,3,20,Владивосток,Санкт-Петербург
2006-05-28,2006-06-04,3,40,Санкт-Петербург,Владивосток
2006-05-28,2006-06-02,3,40,Санкт-Петербург,Владивосток
2006-05-28,2006-06-03,2,20,Владивосток,Санкт-Петербург
2006-05-29,2006-05-30,4,20,Владивосток,Москва
2006-05-30,2006-06-05,3,40,Москва,Санкт-Петербург
2006-05-30,2006-06-02,4,20,Владивосток,Москва
2006-05-30,2006-06-05,6,20,Москва,Владивосток
2006-05-31,2006-06-07,3,40,Владивосток,Санкт-Петербург
2006-05-31,2006-06-05,4,40,Москва,Владивосток
2006-06-01,2006-06-06,7,20,Владивосток,Санкт-Петербург
2006-06-01,2006-06-06,6,20,Санкт-Петербург,Москва
2006-06-02,2006-06-05,6,20,Москва,Владивосток
2006-06-02,2006-06-05,3,40,Владивосток,Москва
2006-06-02,2006-06-05,3,40,Москва,Санкт-Петербург
2006-06-03,2006-06-08,7,40,Москва,Санкт-Петербург
2006-06-06,2006-06-09,7,40,Владивосток,Москва
2006-06-06,2006-06-12,3,20,Владивосток,Москва
2006-06-06,2006-06-09,2,20,Москва,Санкт-Петербург
2006-06-06,2006-06-12,2,20,Санкт-Петербург,Владивосток
2006-06-06,2006-06-10,3,20,Владивосток,Санкт-Петербург
2006-06-07,2006-06-10,5,40,Санкт-Петербург,Владивосток
2006-06-08,2006-06-13,5,40,Владивосток,Санкт-Петербург
2006-06-08,2006-06-12,2,40,Владивосток,Москва
2006-06-08,2006-06-13,2,40,Санкт-Петербург,Владивосток
2006-06-09,2006-06-14,7,40,Москва,Санкт-Петербург
2006-06-09,2006-06-12,5,40,Санкт-Петербург,Москва
2006-06-09,2006-06-14,6,40,Санкт-Петербург,Владивосток
2006-06-09,2006-06-16,3,20,Владивосток,Москва
2006-06-10,2006-06-17,5,20,Владивосток,Санкт-Петербург
2006-06-10,2006-06-16,7,40,Владивосток,Санкт-Петербург
2006-06-10,2006-06-12,3,20,Санкт-Петербург,Владивосток
2006-06-10,2006-06-11,7,20,Санкт-Петербург,Владивосток
2006-06-10,2006-06-14,7,40,Санкт-Петербург,Владивосток
2006-06-11,2006-06-15,5,40,Москва,Санкт-Петербург
2006-06-12,2006-06-15,7,40,Москва,Владивосток
2006-06-12,2006-06-19,7,20,Владивосток,Москва
2006-06-13,2006-06-18,3,40,Москва,Владивосток
2006-06-13,2006-06-16,7,20,Москва,Санкт-Петербург
2006-06-13,2006-06-18,2,40,Москва,Санкт-Петербург
2006-06-14,2006-06-19,7,40,Санкт-Петербург,Владивосток
